ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
ErmF	3000498	protein homolog model	Resistomes & Variants	1	98.5	NO	NO	Bacteroides thetaiotaomicron	3.00	0.00	3.00	13.90	128.00	96.67	0	0	0	0	N/A	N/A		921	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration
leuO	3003843	protein homolog model	Resistomes & Variants	5	79.62 - 99.04	YES	NO	Citrobacter freundii; Escherichia coli; Escherichia albertii; Leclercia adecarboxylata	233.00	0.00	233.00	18.85	192.40	120.20	0	0	0	0	N/A	N/A		948; 1083; 1134; 945; 945	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
H-NS	3000676	protein homolog model	Resistomes & Variants	3	91.91 - 96.35	NO	NO	Citrobacter freundii; Escherichia coli; Klebsiella pneumoniae	4.00	0.00	4.00	15.12	67.67	43.33	0	0	0	0	N/A	N/A		414; 414; 1527	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux
AAC(6')-Ib-cr6	3005116	protein homolog model	Resistomes & Variants	2	98.99	NO	NO	Citrobacter freundii; Salmonella enterica	1042.00	0.00	1042.00	16.04	116.00	90.39	0	0	0	0	N/A	N/A		756; 711	AAC(6'); AAC(6')-Ib-cr	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic inactivation
nimJ	3007112	protein homolog model	Resistomes & Variants	1	62.2	YES	NO	Butyricimonas faecalis	2.00	0.00	2.00	11.76	60.00	39.50	0	0	0	0	N/A	N/A		510	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation
vanH gene in vanD cluster	3002944	protein homolog model	Resistomes & Variants	1	35.44	NO	NO	Clostridium perfringens	2.00	0.00	2.00	19.02	190.00	153.00	0	0	0	0	N/A	N/A		999	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
tetB(P)	3000195	protein homolog model	Resistomes & Variants	1	97.85	YES	NO	Clostridium butyricum; Clostridium perfringens; Paeniclostridium sordellii; unclassified Bacteria; Peptacetobacter hiranonis	4.00	0.00	4.00	17.00	333.00	200.00	0	0	0	0	N/A	N/A		1959	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(44)	3000556	protein homolog model	Resistomes & Variants	3	96.36 - 98.75	NO	NO	Clostridium perfringens; Streptococcus suis	18.00	0.00	18.00	14.82	243.67	147.50	0	0	0	0	N/A	N/A		1830; 921; 1923	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
Bacillus pumilus cat86	3002672	protein homolog model	Resistomes & Variants	1	92.73	NO	NO	Bacillus pumilus	2.00	0.00	2.00	2.87	19.00	28.50	0	0	0	0	N/A	N/A		663	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
vanT gene in vanG cluster	3002972	protein homolog model	Resistomes & Variants	16	30.27 - 39.65	YES	NO	Bacillus pumilus; Dysosmobacter welbionis; Clostridium botulinum; Cutibacterium acnes; Paeniclostridium sordellii; Streptococcus mitis; Listeria innocua; Streptococcus pseudopneumoniae; Macrococcus canis; Staphylococcus epidermidis; Streptococcus pneumoniae; Streptococcus agalactiae; Staphylococcus arlettae	59.00	0.00	59.00	16.84	191.12	155.98	0	0	0	0	N/A	N/A		1179; 1167; 1215; 1128; 1092; 1104; 1104; 1104; 1107; 1104; 1143; 1149; 1104; 1104; 1107; 1176	glycopeptide resistance gene cluster; vanT	glycopeptide antibiotic	antibiotic target alteration
vanH gene in vanO cluster	3002948	protein homolog model	Resistomes & Variants	1	39.48	NO	NO	Burkholderia cenocepacia	2.00	0.00	2.00	3.80	38.00	47.00	0	0	0	0	N/A	N/A		999	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
CRP	3000518	protein homolog model	Resistomes & Variants	6	99.05 - 99.52	YES	NO	Cronobacter condimenti; Cronobacter turicensis; Escherichia coli; Escherichia albertii; Klebsiella michiganensis; Klebsiella oxytoca; Kosakonia arachidis	14.00	0.00	14.00	31.81	201.33	168.75	0	0	0	0	N/A	N/A		633; 633; 633; 633; 633; 633	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux
msbA	3003950	protein homolog model	Resistomes & Variants	7	92.44 - 100.0	YES	NO	Cronobacter turicensis; Enterobacter asburiae; Escherichia coli; Klebsiella aerogenes; Leclercia adecarboxylata; Salmonella bongori	27.00	0.00	27.00	18.16	317.71	139.78	0	0	0	0	N/A	N/A		1749; 1752; 1749; 1749; 1749; 1749; 1749	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux
emrA	3000027	protein homolog model	Resistomes & Variants	2	89.23 - 90.0	NO	NO	Citrobacter portucalensis; Salmonella enterica	5.00	0.00	5.00	19.99	234.50	126.75	0	0	0	0	N/A	N/A		1173; 1173	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
emrR	3000516	protein homolog model	Resistomes & Variants	6	90.86 - 94.29	YES	NO	Citrobacter portucalensis; Enterobacter cloacae; Enterobacter asburiae; Klebsiella oxytoca; Enterobacter cancerogenus; Kosakonia arachidis	13.00	0.00	13.00	31.80	168.83	146.53	0	0	0	0	N/A	N/A		531; 531; 531; 531; 531; 531	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
tet(X1)	3005166	protein homolog model	Resistomes & Variants	1	99.72	NO	NO	Bacteroides fragilis	2.00	0.00	2.00	14.53	173.00	142.00	0	0	0	0	N/A	N/A		1191	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
CME-1	3004775	protein homolog model	Resistomes & Variants	1	96.27	NO	NO	Elizabethkingia anophelis	7.00	0.00	7.00	4.05	36.00	35.86	0	0	0	0	N/A	N/A		888	CME beta-lactamase	penicillin beta-lactam	antibiotic inactivation
mdeA	3007011	protein homolog model	Resistomes & Variants	2	40.18 - 55.02	NO	NO	Lactobacillus gasseri; Staphylococcus epidermidis	10.00	0.00	10.00	10.52	144.00	60.81	0	0	0	0	N/A	N/A		1365; 1395	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic; penicillin beta-lactam; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux
vanG	3002909	protein homolog model	Resistomes & Variants	7	37.25 - 40.17	NO	NO	Paeniclostridium sordellii; Enterobacter cloacae; Enterobacter asburiae; Escherichia coli; Raoultella planticola; Pseudomonas chlororaphis; Serratia liquefaciens	13.00	0.00	13.00	12.06	132.00	130.24	0	0	0	0	N/A	N/A		1068; 1098; 1101; 1101; 1098; 1095; 1104	glycopeptide resistance gene cluster; Van ligase	glycopeptide antibiotic	antibiotic target alteration
ACT-29	3001849	protein homolog model	Resistomes & Variants	1	92.63	NO	NO	Enterobacter cloacae	2.00	0.00	2.00	16.36	187.00	195.50	0	0	0	0	N/A	N/A		1143	ACT beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation
bacA	3002986	protein homolog model	Resistomes & Variants	4	95.24 - 98.9	YES	NO	Enterobacter cloacae; Salmonella enterica; Escherichia albertii; Escherichia fergusonii	9.00	0.00	9.00	16.58	136.25	135.12	0	0	0	0	N/A	N/A		822; 822; 822; 822	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration
rsmA	3005069	protein homolog model	Resistomes & Variants	6	82.26 - 100.0	YES	NO	Enterobacter cloacae; Klebsiella pneumoniae; Klebsiella quasipneumoniae; Klebsiella oxytoca; Pseudomonas aeruginosa; Pseudomonas syringae	10.00	0.00	10.00	71.74	135.50	162.42	0	0	0	0	N/A	N/A		186; 213; 186; 186; 186; 189	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux
ArnT	3005053	protein homolog model	Resistomes & Variants	9	43.12 - 88.2	YES	NO	Enterobacter cloacae; Escherichia coli; Morganella morganii; Raoultella planticola; Serratia liquefaciens; Pseudomonas fluorescens	26.00	0.00	26.00	12.95	214.89	127.68	0	0	0	0	N/A	N/A		1656; 1656; 1518; 1662; 1656; 1665; 1656; 1698; 1656	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
qnrE1	3004636	protein homolog model	Resistomes & Variants	1	95.33	NO	NO	Enterobacter asburiae	1.00	0.00	1.00	2.53	17.00	23.00	0	0	0	0	N/A	N/A		672	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
eptA	3003576	protein homolog model	Resistomes & Variants	5	98.82 - 100.0	NO	NO	Escherichia coli; Shigella sonnei	11.00	0.00	11.00	7.10	185.60	77.83	0	0	0	0	N/A	N/A		1644; 1644; 1644; 1644; 3372	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
Escherichia coli emrE	3004039	protein homolog model	Resistomes & Variants	4	97.94 - 99.01	NO	NO	Escherichia coli	12.00	0.00	12.00	15.95	72.75	130.61	0	0	0	0	N/A	N/A		609; 333; 471; 660	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
TEM-206	3001383	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	17.00	0.00	17.00	21.96	197.00	169.88	0	0	0	0	N/A	N/A		897	TEM beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
catA1	3002683	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	1.00	0.00	1.00	8.87	62.00	162.00	0	0	0	0	N/A	N/A		699	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
gadX	3000508	protein homolog model	Resistomes & Variants	2	93.13 - 94.16	NO	NO	Escherichia coli	2.00	0.00	2.00	5.76	49.50	98.50	0	0	0	0	N/A	N/A		825; 867	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux
AAC(3)-IVa	3002539	protein homolog model	Resistomes & Variants	2	99.61 - 100.0	NO	YES	Escherichia coli; Klebsiella pneumoniae	11.00	0.00	11.00	40.52	495.00	196.94	0	0	0	0	N/A	N/A		1365; 822	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
kdpE	3003841	protein homolog model	Resistomes & Variants	6	91.74 - 99.56	NO	NO	Escherichia coli; Salmonella enterica	3924.00	0.00	3924.00	26.08	206.83	70.29	0	0	0	0	N/A	N/A		858; 729; 732; 678; 735; 888	kdpDE	aminoglycoside antibiotic	antibiotic efflux
floR	3002705	protein homolog model	Resistomes & Variants	2	99.5 - 99.75	YES	NO	Escherichia coli; Pseudomonas aeruginosa	9.00	0.00	9.00	32.59	396.00	163.72	0	0	0	0	N/A	N/A		1215; 1215	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
TolC	3000237	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	1.00	0.00	1.00	5.17	77.00	139.00	0	0	0	0	N/A	N/A		1488	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
tet(X4)	3004720	protein homolog model	Resistomes & Variants	1	99.74	NO	YES	Escherichia coli	2.00	0.00	2.00	17.62	204.00	200.00	0	0	0	0	N/A	N/A		1158	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
emrK	3000206	protein homolog model	Resistomes & Variants	2	94.28 - 98.01	NO	NO	Escherichia coli	13.00	0.00	13.00	5.61	64.00	45.23	0	0	0	0	N/A	N/A		1164; 1119	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
APH(4)-Ia	3002655	protein homolog model	Resistomes & Variants	1	100.0	NO	NO	Escherichia coli	8.00	0.00	8.00	46.78	480.00	191.75	0	0	0	0	N/A	N/A		1026	APH(4)	aminoglycoside antibiotic	antibiotic inactivation
tet(A)	3000165	protein homolog model	Resistomes & Variants	2	97.8 - 99.49	NO	NO	Escherichia coli	9.00	0.00	9.00	17.78	265.50	171.58	0	0	0	0	N/A	N/A		1335; 1614	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
mdtE	3000795	protein homolog model	Resistomes & Variants	2	99.48 - 99.74	NO	NO	Escherichia coli	5.00	0.00	5.00	11.35	131.50	78.25	0	0	0	0	N/A	N/A		1158; 1158	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux
mdtM	3001214	protein homolog model	Resistomes & Variants	2	97.29 - 98.2	NO	NO	Escherichia coli	36.00	0.00	36.00	10.53	230.00	88.87	0	0	0	0	N/A	N/A		2553; 1239	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
APH(3')-Ia	3002641	protein homolog model	Resistomes & Variants	2	97.79 - 98.15	NO	NO	Escherichia coli; Salmonella enterica	4.00	0.00	4.00	19.06	158.00	199.50	0	0	0	0	N/A	N/A		816; 843	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
EstT	3007459	protein homolog model	Resistomes & Variants	1	99.02	NO	NO	Escherichia coli	3.00	0.00	3.00	19.51	192.00	166.67	0	0	0	0	N/A	N/A		984	macrolide esterase	macrolide antibiotic	antibiotic inactivation
APH(6)-Id	3002660	protein homolog model	Resistomes & Variants	2	99.24 - 99.64	NO	YES	Escherichia coli	18.00	0.00	18.00	34.52	506.00	145.87	0	0	0	0	N/A	N/A		1641; 1011	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
ANT(3'')-IIa	3004089	protein homolog model	Resistomes & Variants	3	87.99 - 99.62	NO	YES	Escherichia coli; Klebsiella pneumoniae; Pseudomonas aeruginosa	8.00	0.00	8.00	13.93	148.33	180.25	0	0	0	0	N/A	N/A		1008; 1359; 840	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
APH(3'')-Ib	3002639	protein homolog model	Resistomes & Variants	3	95.65 - 99.63	YES	NO	Escherichia coli; Klebsiella pneumoniae; Pseudomonas aeruginosa	23.00	0.00	23.00	22.56	415.67	179.44	0	0	0	0	N/A	N/A		1881; 2496; 1485	APH(3'')	aminoglycoside antibiotic	antibiotic inactivation
AcrE	3000499	protein homolog model	Resistomes & Variants	1	95.31	NO	NO	Escherichia coli	3.00	0.00	3.00	8.81	106.00	26.00	0	0	0	0	N/A	N/A		1203	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux
Klebsiella pneumoniae KpnE	3004580	protein homolog model	Resistomes & Variants	2	79.66 - 83.33	YES	NO	Escherichia coli; Enterobacter cancerogenus	2.00	0.00	2.00	22.98	83.50	80.50	0	0	0	0	N/A	N/A		366; 363	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux
AAC(3)-IIc	3002535	protein homolog model	Resistomes & Variants	2	95.89 - 96.86	NO	NO	Escherichia coli; Klebsiella pneumoniae	25.00	0.00	25.00	14.48	96.00	110.72	0	0	0	0	N/A	N/A		747; 477	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation
aadA5	3002605	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Escherichia coli	64.00	0.00	64.00	41.65	506.00	140.14	0	0	0	0	N/A	N/A		1215	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
mdtN	3003548	protein homolog model	Resistomes & Variants	1	99.13	NO	NO	Escherichia coli	1.00	0.00	1.00	13.66	141.00	177.00	0	0	0	0	N/A	N/A		1032	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux
evgS	3000833	protein homolog model	Resistomes & Variants	1	98.08	YES	NO	Escherichia coli	2.00	0.00	2.00	4.20	151.00	200.00	0	0	0	0	N/A	N/A		3594	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux
dfrA17	3002860	protein homolog model	Resistomes & Variants	1	99.36	NO	NO	Escherichia coli	4.00	0.00	4.00	14.93	90.00	160.50	0	0	0	0	N/A	N/A		603	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
Escherichia coli mdfA	3001328	protein homolog model	Resistomes & Variants	2	87.71 - 96.34	NO	NO	Escherichia coli; Enterobacter hormaechei	4.00	0.00	4.00	6.94	85.50	80.00	0	0	0	0	N/A	N/A		1233; 1233	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
sul3	3000413	protein homolog model	Resistomes & Variants	1	99.62	YES	YES	Escherichia coli; Proteus mirabilis	2.00	0.00	2.00	3.03	24.00	34.50	0	0	0	0	N/A	N/A		792	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
tet(D)	3000168	protein homolog model	Resistomes & Variants	5	42.52 - 97.72	NO	NO	Morganella morganii; Pasteurella multocida; Corynebacterium diphtheriae; Rhodobacteraceae bacterium; Comamonas testosteroni	28.00	0.00	28.00	22.36	272.80	151.54	0	0	0	0	N/A	N/A		1185; 1203; 1260; 1176; 1176	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanW gene in vanG cluster	3002965	protein homolog model	Resistomes & Variants	3	31.2 - 37.18	NO	NO	Kocuria palustris; Pseudomonas aeruginosa; Enterococcus faecalis	8.00	0.00	8.00	21.70	174.33	86.40	0	0	0	0	N/A	N/A		873; 591; 825	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
marA	3000263	protein homolog model	Resistomes & Variants	1	91.2	NO	NO	Klebsiella aerogenes	2.00	0.00	2.00	14.84	57.00	39.50	0	0	0	0	N/A	N/A		384	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux; reduced permeability to antibiotic
Klebsiella pneumoniae KpnF	3004583	protein homolog model	Resistomes & Variants	1	93.58	NO	NO	Klebsiella aerogenes	13.00	0.00	13.00	49.39	163.00	57.38	0	0	0	0	N/A	N/A		330	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux
LptD	3005059	protein homolog model	Resistomes & Variants	8	91.43 - 98.72	NO	NO	Klebsiella aerogenes; Klebsiella pneumoniae; Raoultella planticola; Klebsiella oxytoca; Klebsiella michiganensis; Klebsiella quasipneumoniae	21.00	0.00	21.00	11.47	270.88	149.51	0	0	0	0	N/A	N/A		2373; 2349; 2370; 2367; 2367; 2367; 2349; 2349	ATP-binding cassette (ABC) antibiotic efflux pump	carbapenem; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic	antibiotic efflux
fosA5	3003209	protein homolog model	Resistomes & Variants	2	95.68 - 98.53	NO	NO	Klebsiella aerogenes; Klebsiella pneumoniae	2.00	0.00	2.00	4.04	17.50	28.50	0	0	0	0	N/A	N/A		420; 450	fosfomycin thiol transferase	fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic	antibiotic inactivation
TxR	3005008	protein homolog model	Resistomes & Variants	1	86.29	NO	NO	Vibrio parahaemolyticus	3.00	0.00	3.00	7.84	75.00	45.00	0	0	0	0	N/A	N/A		957	ATP-binding cassette (ABC) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
Acinetobacter baumannii AbaQ	3004574	protein homolog model	Resistomes & Variants	3	72.49 - 73.52	NO	NO	Pseudomonas koreensis; Pseudomonas putida; Pseudomonas fluorescens	4.00	0.00	4.00	8.64	118.33	110.50	0	0	0	0	N/A	N/A		1323; 1416; 1323	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ICR-Mo	3004569	protein homolog model	Resistomes & Variants	7	95.56 - 97.13	YES	NO	Moraxella osloensis	20.00	0.00	20.00	17.19	289.57	194.62	0	0	0	0	N/A	N/A		1677; 1677; 1692; 1692; 1692; 1692; 1692	intrinsic colistin resistant phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
rmtF	3002666	protein homolog model	Resistomes & Variants	2	98.39 - 98.7	NO	NO	Klebsiella pneumoniae	18.00	0.00	18.00	23.43	224.50	81.33	0	0	0	0	N/A	N/A		933; 1035	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
OmpA	3005044	protein homolog model	Resistomes & Variants	3	99.44 - 99.72	YES	NO	Klebsiella pneumoniae; Klebsiella quasipneumoniae	66.00	0.00	66.00	23.24	256.33	137.44	0	0	0	0	N/A	N/A		1071; 1071; 1125	General Bacterial Porin with reduced permeability to peptide antibiotics	peptide antibiotic	reduced permeability to antibiotic
Klebsiella pneumoniae KpnG	3004588	protein homolog model	Resistomes & Variants	1	99.74	NO	NO	Klebsiella pneumoniae	4.00	0.00	4.00	19.35	227.00	153.25	0	0	0	0	N/A	N/A		1173	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; peptide antibiotic	antibiotic efflux
dfrA15	3003013	protein homolog model	Resistomes & Variants	1	98.73	NO	NO	Klebsiella pneumoniae	3.00	0.00	3.00	45.36	215.00	148.33	0	0	0	0	N/A	N/A		474	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
AAC(6')-Ib10	3002581	protein homolog model	Resistomes & Variants	1	89.2	NO	NO	Klebsiella pneumoniae	3.00	0.00	3.00	31.30	293.00	140.33	0	0	0	0	N/A	N/A		936	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
aadA2	3002602	protein homolog model	Resistomes & Variants	1	100.0	YES	NO	Klebsiella pneumoniae	4.00	0.00	4.00	15.83	265.00	199.50	0	0	0	0	N/A	N/A		1674	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
dfrA14	3002859	protein homolog model	Resistomes & Variants	2	97.33 - 99.36	NO	YES	Klebsiella pneumoniae	33.00	0.00	33.00	39.61	283.00	164.93	0	0	0	0	N/A	N/A		531; 825	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
vanH gene in vanB cluster	3002943	protein homolog model	Resistomes & Variants	3	38.05 - 38.68	NO	NO	Pseudomonas putida	13.00	0.00	13.00	33.67	333.33	111.71	0	0	0	0	N/A	N/A		990; 990; 990	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
YajC	3005040	protein homolog model	Resistomes & Variants	3	89.29 - 99.11	YES	NO	Pseudomonas putida; Pseudomonas fluorescens; Pseudomonas aeruginosa	8.00	0.00	8.00	54.24	183.33	114.08	0	0	0	0	N/A	N/A		336; 339; 339	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; oxazolidinone antibiotic; glycopeptide antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux
CME-2	3006155	protein homolog model	Resistomes & Variants	1	94.61	NO	NO	Elizabethkingia miricola	6.00	0.00	6.00	10.51	94.00	52.50	0	0	0	0	N/A	N/A		894	CME beta-lactamase	penicillin beta-lactam	antibiotic inactivation
patA	3000024	protein homolog model	Resistomes & Variants	3	76.6 - 91.49	NO	NO	Streptococcus mitis; Streptococcus sanguinis; Streptococcus pseudopneumoniae	4.00	0.00	4.00	8.71	150.67	199.00	0	0	0	0	N/A	N/A		1743; 1707; 1743	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
patB	3000025	protein homolog model	Resistomes & Variants	11	76.4 - 99.56	NO	NO	Streptococcus mitis; Streptococcus gordonii; Streptococcus pneumoniae	16.00	0.00	16.00	8.60	156.27	170.32	0	0	0	0	N/A	N/A		1767; 1767; 1767; 1767; 1767; 1767; 1767; 1770; 1770; 2709; 1401	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
APH(3')-IIIa	3002647	protein homolog model	Resistomes & Variants	4	98.86 - 100.0	YES	NO	Staphylococcus pseudintermedius; Streptococcus suis; Streptococcus agalactiae; Staphylococcus aureus	29.00	0.00	29.00	30.50	295.75	155.05	0	0	0	0	N/A	N/A		1104; 807; 795; 789	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
aadA7	3002607	protein homolog model	Resistomes & Variants	2	98.87 - 99.62	YES	YES	Salmonella enterica; Pseudomonas aeruginosa	9.00	0.00	9.00	28.07	265.50	194.67	0	0	0	0	N/A	N/A		1014; 912	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation
TEM-1	3000873	protein homolog model	Resistomes & Variants	1	97.46	NO	NO	Salmonella enterica	2.00	0.00	2.00	11.88	113.00	185.00	0	0	0	0	N/A	N/A		951	TEM beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation
MdtK	3001327	protein homolog model	Resistomes & Variants	1	99.58	NO	NO	Salmonella enterica	1.00	0.00	1.00	1.33	19.00	47.00	0	0	0	0	N/A	N/A		1425	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic	antibiotic efflux
Vibrio cholerae varG	3004289	protein homolog model	Resistomes & Variants	1	82.18	NO	NO	Vibrio vulnificus	1.00	0.00	1.00	1.50	17.00	23.00	0	0	0	0	N/A	N/A		1131	Subclass B1 Vibrio cholerae varG beta-lactamase	carbapenem	antibiotic inactivation
